invoice_id,invoice_number,date,customer_name,customer_cuit,customer_type,iva_responsable,items,subtotal,iva_21,iva_10_5,iva_27,total_iva,total_amount,payment_method,payment_details,bank_name,status,created_at
ada26bd2-1956-448b-8fab-5a103a42844d,0005-00001000,2024-08-21,Cliente Juan Fernández,0-00000000-0,Consumidor Final,Consumidor Final,"[{""descripcion"": ""Auriculares Sony WH-1000XM5"", ""cantidad"": 1, ""precio_unitario"": 74232.61, ""subtotal"": 74232.61, ""iva"": 21, ""iva_monto"": 15588.85}]",74232.61,15588.85,0,0,15588.85,89821.46,Tarjeta de Crédito Visa,Visa ending in 1234,Banco Galicia,Pagado,2026-08-23 01:31:22
c66bf404-ac2e-4f5b-9649-bac6378d92d4,0004-00001001,2024-08-17,Cliente Luis López,0-00000000-0,Consumidor Final,Consumidor Final,"[{""descripcion"": ""Parlante Bluetooth JBL Charge 5"", ""cantidad"": 1, ""precio_unitario"": 35314.59, ""subtotal"": 35314.59, ""iva"": 21, ""iva_monto"": 7416.06}]",35314.59,7416.06,0,0,7416.06,42730.65,Tarjeta de Débito,Debito ending in 9012,Santander Río,Pagado,2026-08-23 01:31:22
87dbef5f-cbad-4157-a0cb-d0fd57584ae9,0004-00001002,2024-07-25,Tienda El Progreso S.A.,20-58181396-5,Monotributista,Monotributista,"[{""descripcion"": ""Laptop Dell Inspiron 15"", ""cantidad"": 3, ""precio_unitario"": 145097.84, ""subtotal"": 435293.51, ""iva"": 21, ""iva_monto"": 91411.64}]",435293.51,91411.64,0,0,91411.64,526705.15,Tarjeta de Crédito Visa,Visa ending in 1234,Banco Galicia,Pagado,2026-08-23 01:31:22
f7ec21f7-6d11-4c36-a610-9ba77666a464,0002-00001003,2024-06-11,Comercio Del Sol S.A.,20-16150444-3,Responsable Inscripto,Responsable Inscripto,"[{""descripcion"": ""Impresora HP LaserJet Pro"", ""cantidad"": 1, ""precio_unitario"": 48255.36, ""subtotal"": 48255.36, ""iva"": 21, ""iva_monto"": 10133.63}]",48255.36,10133.63,0,0,10133.63,58388.99,Transferencia Bancaria,CBU: 0640001230000012345678,Banco Ciudad,Pagado,2026-08-23 01:31:22
839a5d4b-e548-41cf-b837-45724018e506,0005-00001004,2024-08-21,Empresa San Martín S.R.L.,23-81691040-3,Monotributista,Monotributista,"[{""descripcion"": ""Consola PlayStation 5"", ""cantidad"": 1, ""precio_unitario"": 143009.33, ""subtotal"": 143009.33, ""iva"": 21, ""iva_monto"": 30031.96}]",143009.33,30031.96,0,0,30031.96,173041.29,Tarjeta de Crédito Visa,Visa ending in 1234,Banco Galicia,Pagado,2026-08-23 01:31:22
e3293a60-3de7-43ca-b0b5-3d1f1588f2c8,0002-00001005,2024-07-12,Cliente Luis López,0-00000000-0,Consumidor Final,Consumidor Final,"[{""descripcion"": ""Smartphone Samsung Galaxy S23"", ""cantidad"": 2, ""precio_unitario"": 176441.93, ""subtotal"": 352883.86, ""iva"": 21, ""iva_monto"": 74105.61}]",352883.86,74105.61,0,0,74105.61,426989.47,Tarjeta de Crédito Visa,Visa ending in 1234,Banco Galicia,Pagado,2026-08-23 01:31:22
6a1a343f-5732-4bf4-8522-4dbdb982bd54,0004-00001006,2024-07-29,Cliente Luis Martínez,0-00000000-0,Consumidor Final,Consumidor Final,"[{""descripcion"": ""Laptop Dell Inspiron 15"", ""cantidad"": 2, ""precio_unitario"": 151169.32, ""subtotal"": 302338.64, ""iva"": 21, ""iva_monto"": 63491.11}]",302338.64,63491.11,0,0,63491.11,365829.75,Transferencia Bancaria,CBU: 0640001230000012345678,Banco Ciudad,Pagado,2026-08-23 01:31:22
9c8cf18c-aada-4afb-9df1-758e86a4c8a8,0004-00001007,2024-06-12,Cliente Luis López,0-00000000-0,Consumidor Final,Consumidor Final,"[{""descripcion"": ""Smart TV LED 55\"" 4K"", ""cantidad"": 1, ""precio_unitario"": 124331.55, ""subtotal"": 124331.55, ""iva"": 21, ""iva_monto"": 26109.63}, {""descripcion"": ""Impresora HP LaserJet Pro"", ""cantidad"": 1, ""precio_unitario"": 43962.91, ""subtotal"": 43962.91, ""iva"": 21, ""iva_monto"": 9232.21}]",168294.45,35341.84,0,0,35341.84,203636.29,Transferencia Bancaria,CBU: 0640001230000012345678,Banco Ciudad,Pagado,2026-08-23 01:31:22
783d67ea-9e09-47db-9930-c06b3eb3579d,0003-00001008,2024-06-15,Tienda El Progreso ,23-78139880-1,Responsable Inscripto,Responsable Inscripto,"[{""descripcion"": ""Router WiFi 6 TP-Link"", ""cantidad"": 2, ""precio_unitario"": 14520.53, ""subtotal"": 29041.05, ""iva"": 21, ""iva_monto"": 6098.62}, {""descripcion"": ""Auriculares Sony WH-1000XM5"", ""cantidad"": 1, ""precio_unitario"": 74530.52, ""subtotal"": 74530.52, ""iva"": 21, ""iva_monto"": 15651.41}]",103571.58,21750.03,0,0,21750.03,125321.61,Efectivo,Pago en efectivo en caja,Efectivo,Pagado,2026-08-23 01:31:22
8666cc30-d6e1-4bd5-ac86-e576405876ba,0001-00001009,2024-06-26,Cliente Luis López,0-00000000-0,Consumidor Final,Consumidor Final,"[{""descripcion"": ""Smart TV LED 55\"" 4K"", ""cantidad"": 1, ""precio_unitario"": 126687.04, ""subtotal"": 126687.04, ""iva"": 21, ""iva_monto"": 26604.28}]",126687.04,26604.28,0,0,26604.28,153291.32,Tarjeta de Crédito American Express,Amex ending in 3456,American Express,Pagado,2026-08-23 01:31:22
